sepal.length,sepal.width,petal.length,petal.width,variety
4.4,2.9,1.4,.2,Setosa
4.4,3.2,1.3,.2,Setosa
4.5,2.3,1.3,.3,Setosa
4.6,3.1,1.5,.2,Setosa
4.6,3.2,1.4,.2,Setosa
4.6,3.4,1.4,.3,Setosa
4.6,3.6,1,.2,Setosa
4.7,3.2,1.3,.2,Setosa
4.7,3.2,1.6,.2,Setosa
4.8,3,1.4,.1,Setosa
4.8,3,1.4,.3,Setosa
4.8,3.1,1.6,.2,Setosa
4.8,3.4,1.6,.2,Setosa
4.8,3.4,1.9,.2,Setosa
4.9,2.4,3.3,1,Versicolor
4.9,3,1.4,.2,Setosa
4.9,3.1,1.5,.1,Setosa
4.9,3.1,1.5,.2,Setosa
4.9,3.6,1.4,.1,Setosa
5,3,1.6,.2,Setosa
5,3.2,1.2,.2,Setosa
5,3.3,1.4,.2,Setosa
5,3.4,1.5,.2,Setosa
5,3.4,1.6,.4,Setosa
5,3.5,1.3,.3,Setosa
5,3.5,1.6,.6,Setosa
5,3.6,1.4,.2,Setosa
5.1,2.5,3,1.1,Versicolor
5.1,3.3,1.7,.5,Setosa
5.1,3.4,1.5,.2,Setosa
