sepal.length,sepal.width,petal.length,petal.width,variety
6,3.4,4.5,1.6,Versicolor
6.1,2.6,5.6,1.4,Virginica
6.1,2.8,4,1.3,Versicolor
6.1,2.8,4.7,1.2,Versicolor
6.1,2.9,4.7,1.4,Versicolor
6.1,3,4.6,1.4,Versicolor
6.1,3,4.9,1.8,Virginica
6.2,2.2,4.5,1.5,Versicolor
6.2,2.8,4.8,1.8,Virginica
6.2,2.9,4.3,1.3,Versicolor
6.2,3.4,5.4,2.3,Virginica
6.3,2.3,4.4,1.3,Versicolor
6.3,2.5,4.9,1.5,Versicolor
6.3,2.5,5,1.9,Virginica
6.3,2.7,4.9,1.8,Virginica
6.3,2.8,5.1,1.5,Virginica
6.3,2.9,5.6,1.8,Virginica
6.3,3.3,4.7,1.6,Versicolor
6.3,3.3,6,2.5,Virginica
6.3,3.4,5.6,2.4,Virginica
6.4,2.7,5.3,1.9,Virginica
6.4,2.8,5.6,2.1,Virginica
6.4,2.8,5.6,2.2,Virginica
