sepal.length,sepal.width,petal.length,petal.width,variety
5.1,3.5,1.4,.2,Setosa
5.1,3.5,1.4,.3,Setosa
5.1,3.7,1.5,.4,Setosa
5.1,3.8,1.5,.3,Setosa
5.1,3.8,1.6,.2,Setosa
5.1,3.8,1.9,.4,Setosa
5.2,2.7,3.9,1.4,Versicolor
5.2,3.4,1.4,.2,Setosa
5.2,3.5,1.5,.2,Setosa
5.2,4.1,1.5,.1,Setosa
5.3,3.7,1.5,.2,Setosa
5.4,3,4.5,1.5,Versicolor
5.4,3.4,1.5,.4,Setosa
5.4,3.4,1.7,.2,Setosa
5.4,3.7,1.5,.2,Setosa
5.4,3.9,1.3,.4,Setosa
5.4,3.9,1.7,.4,Setosa
5.5,2.3,4,1.3,Versicolor
5.5,2.4,3.7,1,Versicolor
5.5,2.4,3.8,1.1,Versicolor
5.5,2.5,4,1.3,Versicolor
5.5,2.6,4.4,1.2,Versicolor
5.5,3.5,1.3,.2,Setosa
5.5,4.2,1.4,.2,Setosa
5.6,2.5,3.9,1.1,Versicolor
5.6,2.7,4.2,1.3,Versicolor
5.6,2.8,4.9,2,Virginica
