userId,movieId,rating,timestamp
295,5816,4.0,1112544825
295,5952,5.0,1112544890
295,5989,5.0,1112544834
295,6218,3.5,1112546556
295,6323,5.0,1112545357
295,6333,4.5,1112544579
295,6377,5.0,1112544789
295,6378,4.0,1112544646
295,6539,4.5,1112544804
295,6565,4.5,1112545146
295,6708,5.0,1112545839
295,6709,4.0,1100131075
295,6764,3.5,1112545772
295,6776,4.0,1112547044
295,6874,4.0,1112545763
295,6942,3.0,1112545232
295,6979,4.0,1112545153
295,7143,4.0,1112544573
295,7147,4.0,1112545908
295,7153,4.5,1112544942
295,7160,2.0,1112543805
295,7263,3.5,1112544559
295,7318,4.0,1100129527
295,7348,4.0,1112546120
295,7367,2.5,1100129901
