userId,movieId,rating,timestamp
214,3424,5.0,978382391
214,3452,2.0,978896845
214,3471,4.0,978468610
214,3527,5.0,978417948
214,3551,4.0,979451830
214,3552,3.0,978382683
214,3555,4.0,978125778
214,3578,5.0,978125653
214,3608,3.0,978417916
214,3623,1.0,983723508
214,3624,4.0,978128482
214,3653,4.0,978469055
214,3686,3.0,978131768
214,3699,3.0,978417983
214,3702,3.0,978468663
214,3703,3.0,978382391
214,3717,2.0,978128611
214,3745,4.0,978125778
214,3753,3.0,978128437
214,3793,5.0,978128460
214,3821,2.0,978128664
214,3916,4.0,983723379
214,3927,5.0,978468762
214,3984,3.0,978128482
214,4007,5.0,978128348
214,4008,3.0,978128437
