movieId,imdbId,tmdbId
1017,0054357,18444
1018,0059793,20723
1019,0046672,173
1020,0106611,864
1021,0109127,24795
1022,0042332,11224
1023,0063819,81310
1024,0038166,15947
1025,0057546,9078
1026,0041890,29682
1027,0102798,8367
1028,0058331,433
1029,0033563,11360
1030,0076538,11114
1031,0066817,12335
1032,0043274,12092
1033,0082406,10948
1034,0116361,11229
1035,0059742,15121
1036,0095016,562
1037,0104692,10163
1040,0117582,47199
1041,0117589,11159
1042,0117887,9591
1043,0117924,30500
1044,0117791,41843
1046,0115640,10938
1047,0116908,11412
1049,0116409,10586
1050,0116913,42314
1051,0117958,27845
