movieId,imdbId,tmdbId
3198,0070511,5924
3199,0050815,33734
3200,0070290,14886
3201,0065724,26617
3202,0065436,11900
3203,0097162,10493
3204,0077269,16241
3205,0054067,27632
3206,0086859,22160
3207,0045162,4460
3208,0107659,9644
3210,0083929,13342
3211,0094924,35119
3213,0106364,14919
3214,0088707,14040
3216,0066380,17343
3217,0029606,22692
3218,0102687,47620
3219,0100318,2990
3221,0083851,10831
3223,0090366,33078
3224,0058625,16672
3225,0186975,10472
3232,0016332,32600
3235,0081748,13005
3238,0120662,18681
3239,0141399,75531
3240,0156639,20468
3241,0201840,14521
3243,0104187,10406
3244,0076095,14741
