movieId,imdbId,tmdbId
27922,0500140,23319
30707,0405159,70
30712,0044954,31713
30723,0100873,55309
30745,0361668,12487
30749,0395169,205
30783,0058567,28055
30793,0367594,118
30803,0423866,1280
30810,0362270,421
30812,0338751,2567
30816,0293508,9833
30818,0363473,6478
30820,0361127,9692
30822,0385267,1901
30825,0290002,693
30846,0364961,842
30848,0369672,9953
30850,0379889,11162
30867,0416220,26275
30883,0396592,15045
30892,0390123,1853
30894,0375210,11804
30898,0365885,11354
31000,0092035,66600
31026,0098090,69234
31035,0086429,21259
31101,0326208,18927
31104,0073107,42257
31109,0045557,74122
