movieId,imdbId,tmdbId
8670,0023563,12206
8672,0050171,75046
8675,0050356,15876
8684,0049902,15244
8689,0100602,20876
8690,0069280,24559
8695,0039169,27437
8699,0219636,259389
8700,0035799,22871
8709,0097530,27307
8711,0040613,32294
8712,0029284,41463
8713,0093744,19051
8718,0040806,62694
8720,0103007,53287
8722,0086494,32644
8724,0057091,1040
8725,0064381,42604
8727,0072848,5122
8730,0243609,1783
8743,0090729,22976
8745,0054483,45608
8751,0042530,18671
8752,0041859,17218
8753,0346091,41316
8754,0064840,5179
8761,0057579,15081
8763,0063389,64877
8765,0035432,16703
8766,0038360,20298
8767,0040160,19974
