movieId,imdbId,tmdbId
96634,1757742,97795
96655,1990314,84329
96667,1845773,84169
96691,1855325,71679
96726,1710417,100529
96728,1560747,68722
96737,1343727,49049
96792,0048260,4822
96811,1855199,77016
96815,2105044,84348
96821,1659337,84892
96829,2106476,103663
96832,2076220,103328
96849,1876451,88036
96861,1397280,82675
96863,1496422,82390
96901,0385073,223195
96911,1276419,88273
97057,1613750,70667
97168,1183919,90125
97188,1922777,82507
97225,0837562,76492
97230,2014338,110354
97254,0059709,109600
97304,1024648,68734
97306,1931533,86838
97328,1872818,84306
97393,2125653,84284
97395,2130321,84351
