movieId,imdbId,tmdbId
5021,0074937,6037
5022,0057490,42987
5023,0105789,61418
5025,0273923,11857
5026,0237534,6312
5027,0099044,11595
5028,0269746,24166
5033,0100530,10170
5034,0103129,18317
5038,0083951,27273
5039,0082288,848
5040,0087078,9610
5041,0085542,15035
5042,0080752,16127
5043,0080754,31603
5046,0160399,4965
5047,0240468,11891
5048,0281373,11888
5049,0083511,150
5051,0243862,112
5053,0109288,20678
5054,0085271,15050
5055,0106770,10423
5056,0071691,11710
5057,0057071,17691
5059,0145046,57976
5060,0066026,651
5061,0087751,31955
5062,0060955,20620
5063,0055257,18647
5064,0245844,11362
5065,0265349,2637
