movieId,imdbId,tmdbId
8387,0110857,11546
8388,0064893,59427
8392,0089160,71125
8403,0049301,42658
8404,0031448,27118
8410,0047542,18398
8420,0039725,20849
8422,0034946,53779
8423,0018051,16661
8447,0047577,831
8451,0047885,26516
8453,0139388,44388
8459,0041452,28571
8460,0038116,27686
8462,0046963,43336
8463,0040495,62000
8464,0390521,9372
8465,0033774,41495
8477,0056119,662
8482,0037988,16559
8484,0053114,31217
8485,0196069,8341
8487,0054188,19414
8491,0042041,15794
8492,0044008,13188
8493,0100133,12651
8494,0059037,886
8499,0078111,26973
8502,0044030,17820
8504,0115738,31146
8507,0022913,136
