movieId,imdbId,tmdbId
3002,0200849,8672
3003,0170705,8056
3004,0120596,2020
3005,0145681,9481
3006,0140352,9008
3007,0181288,14242
3008,0156729,16129
3010,0200071,11489
3011,0065088,28145
3013,0099180,18111
3015,0077355,11223
3016,0083767,16281
3017,0092796,16288
3018,0089885,1694
3019,0097240,476
3020,0106856,37094
3021,0082427,13555
3022,0017925,961
3024,0078087,24831
3025,0062218,64963
3028,0061407,25560
3029,0082817,21610
3030,0055630,11878
3031,0100475,11510
3032,0067525,11234
3033,0094012,957
3034,0070608,11886
3035,0048380,37853
3036,0082484,62204
3037,0065988,11040
3038,0050371,21849
3039,0086465,1621
