movieId,imdbId,tmdbId
1053,0117202,23223
1054,0116404,49471
1055,0120107,38153
1056,0116722,25147
1057,0116242,9716
1059,0117509,454
1060,0117802,10218
1061,0117665,819
1063,0116714,56830
1064,0115491,11238
1066,0029546,31530
1067,0028757,66473
1068,0039286,28120
1069,0037101,1834
1073,0067992,252
1076,0055018,16372
1077,0070707,11561
1078,0066808,11302
1079,0095159,623
1080,0079470,583
1081,0084865,12614
1082,0068334,21711
1083,0059243,11575
1084,0061418,475
1085,0052027,11331
1086,0046912,521
1087,0113731,21202
1088,0092890,88
1089,0105236,500
1090,0091763,792
1091,0098627,8491
1092,0103772,402
