movieId,imdbId,tmdbId
1413,0118163,18451
1414,0117091,27265
1415,0118100,49935
1416,0116250,8818
1417,0117364,36758
1419,0067959,36040
1420,0117028,74239
1422,0119731,9415
1423,0116506,55146
1425,0119115,12145
1427,0120390,34314
1428,0112362,2892
1429,0116704,9404
1430,0120414,85242
1431,0118708,9622
1432,0119664,8860
1433,0110425,197537
1437,0106535,14832
1438,0118928,9619
1440,0106266,31000
1441,0106387,4104
1442,0119937,26306
1444,0109949,43775
1445,0119640,14908
1446,0116790,784
1447,0119225,12489
1449,0118111,16448
1450,0116754,55936
1453,0118691,17894
1454,0120238,28059
1455,0116565,58911
