movieId,imdbId,tmdbId
71180,0076517,42225
71205,1131734,19994
71211,1130080,11323
71248,1225822,12569
71252,1144884,19912
71254,1034032,18501
71264,0844471,22794
71282,1286537,18570
71304,0762073,22536
71318,0858486,16873
71379,1179904,23827
71390,0996966,16194
71404,0053882,18974
71429,1262981,20178
71433,0058006,67612
71438,1087578,25050
71460,1084972,22717
71462,1313104,23128
71464,1019452,12573
71466,1174730,28053
71468,1071804,24869
71490,1220213,21398
71494,0419724,23127
71518,1172233,22798
71520,1058017,23082
71525,0034424,61524
71530,0986263,19959
71533,1097013,18065
71535,1156398,19908
