movieId,imdbId,tmdbId
48142,0387877,9676
48159,0430779,15213
48165,0098327,32761
48198,0086377,66487
48231,0410730,15742
48262,0799954,1666
48268,0376591,41758
48301,0024473,43122
48304,0472043,1579
48319,0454824,9664
48322,0493430,12094
48385,0443453,496
48394,0457430,1417
48414,0400717,7484
48501,0384116,27275
48516,0407887,1422
48518,0420294,10781
48520,0424993,9794
48522,0457495,9978
48560,0439289,7510
48591,0433386,1975
48593,0483726,9895
48596,0419946,8975
48660,0430051,86
48682,0499537,13209
48696,0404203,1440
48698,0814075,13364
48711,0805526,18925
48738,0455590,1523
48741,0478049,14201
