movieId,imdbId,tmdbId
3379,0053137,35412
3380,0039748,43463
3384,0072251,8333
3385,0090274,19259
3386,0102138,820
3387,0098645,11718
3388,0093148,8989
3390,0091934,58048
3391,0094321,26827
3392,0098309,11157
3393,0092834,28370
3394,0092666,918
3395,0093596,61178
3396,0079588,11176
3397,0082474,14900
3398,0087755,11899
3399,0089994,36536
3400,0108526,18890
3401,0088760,19736
3402,0090219,123047
3404,0046435,16535
3405,0051994,10971
3406,0043379,23928
3408,0195685,462
3409,0195714,9532
3412,0095800,2383
3414,0048316,53879
3415,0072443,1396
3417,0044517,11570
3418,0103074,1541
3420,0078718,17443
3421,0077975,8469
