movieId,imdbId,tmdbId
100517,2258685,130750
100527,1702439,112949
100553,2092588,134481
100556,2375605,123678
100581,2085910,84330
100714,2209418,132344
100745,2608732,50275
100843,1954701,130739
101025,1351685,81005
101070,2258858,129112
101076,1583421,72559
101088,1682180,86825
101106,2306745,157117
101112,1623205,68728
101142,0481499,49519
101283,0790628,124459
101285,2101441,122081
101360,1911644,158011
101362,2302755,117263
101415,1763303,84199
101525,1817273,97367
101529,1935902,127867
101531,1745862,173153
101577,1517260,72710
101612,1814621,144340
101741,1924429,68727
